"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE"
"vessel-version-0.3","johlyn","changelog/db-changelog-master.xml","2016-10-28T14:34:35.807","1","EXECUTED","7:c71f44fd16d671cbae0a34c27c2d32c6","tagDatabase","","","3.3.2"
"vessel-version-0.5","johlyn","changelog/db-changelog-master.xml","2016-10-28T14:34:35.825","2","EXECUTED","7:5c5dec2e5847b0d335fccab24a33152f","tagDatabase","","","3.3.2"
"carr-01","davijo","/schema/tables/carrier.xml","2016-10-28T14:34:35.841","3","EXECUTED","7:2949b5e0a597880b3754a0cab1cf5056","createTable, createSequence","","","3.3.2"
"Remove old sequence","nhily","/schema/tables/carrier.xml","2016-10-28T14:34:35.866","4","EXECUTED","7:b70ade6362d20af955fb7e1f43765c43","dropSequence","","","3.3.2"
"ecode-01","davijo","/schema/tables/eventcode.xml","2016-10-28T14:34:35.882","5","EXECUTED","7:3e2d11551631d2ed60dc65c923fcab83","createTable","","","3.3.2"
"fishgm-01","davijo","/schema/tables/fishinggearmobility.xml","2016-10-28T14:34:35.901","6","EXECUTED","7:9333e728c6585b32029beed9d82ac475","createTable","","","3.3.2"
"fishgtyp-01","davijo","/schema/tables/fishinggeartype.xml","2016-10-28T14:34:35.921","7","EXECUTED","7:5b6cdb85cfbb462342eecfd7761c2d89","createTable","","","3.3.2"
"fishingGearTypeCode","nhily","/schema/tables/fishinggeartype.xml","2016-10-28T14:34:35.940","8","EXECUTED","7:9d4c1b284d16e4bf6c993d125e925377","addColumn","","","3.3.2"
"fishtyp-01","davijo","/schema/tables/fishingtype.xml","2016-10-28T14:34:35.958","9","EXECUTED","7:5ac32cf55e623e3fec6405b1e49cf447","createTable","","","3.3.2"
"fishg-01","davijo","/schema/tables/fishinggear.xml","2016-10-28T14:34:35.974","10","EXECUTED","7:f7c99a697b325ae5d189756b4f4a2559","createTable, createSequence","","","3.3.2"
"fishgfk-01","davijo","/schema/tables/fishinggear.xml","2016-10-28T14:34:35.993","11","EXECUTED","7:10ad79debb26237af3270a758e87c221","addForeignKeyConstraint","","","3.3.2"
"fishgfk-02","davijo","/schema/tables/fishinggear.xml","2016-10-28T14:34:36.007","12","EXECUTED","7:198a630ae00d57ff7c19a6b211c873a7","addForeignKeyConstraint","","","3.3.2"
"fishgfk-03","davijo","/schema/tables/fishinggear.xml","2016-10-28T14:34:36.023","13","EXECUTED","7:a11633e4aa62ac6b9e78f98a85090ef3","addForeignKeyConstraint","","","3.3.2"
"Remove old sequence","nhily","/schema/tables/fishinggear.xml","2016-10-28T14:34:36.036","14","EXECUTED","7:8c9b2318a2766cd1a335da379a2abe5c","dropSequence","","","3.3.2"
"fishingGearExternalId","nhily","/schema/tables/fishinggear.xml","2016-10-28T14:34:36.049","15","EXECUTED","7:54102c80a551d311cf1a650327c75d2d","addColumn","","","3.3.2"
"hullm-01","davijo","/schema/tables/hullmaterial.xml","2016-10-28T14:34:36.067","16","EXECUTED","7:3823003666b2545ccbd21e3d8954ed89","createTable","","","3.3.2"
"pubaid-01","davijo","/schema/tables/publicaid.xml","2016-10-28T14:34:36.108","17","EXECUTED","7:72d958cf7a7f38bbc97bb7c088efd77d","createTable","","","3.3.2"
"typexp-01","davijo","/schema/tables/typeofexport.xml","2016-10-28T14:34:36.129","18","EXECUTED","7:1d836b37606a91170f3982ac5af12565","createTable","","","3.3.2"
"ASSET.SEGMENT create table","johlyn","/schema/tables/assetsegment.xml","2016-10-28T14:34:36.148","19","EXECUTED","7:8161fe32a2697f4228909187d609a629","createTable","","","3.3.2"
"LICENSE type table","johlyn","/schema/tables/license.xml","2016-10-28T14:34:36.171","20","EXECUTED","7:da7ae78d08d1bdf76af4534cefd6ce8f","createTable, createSequence","","","3.3.2"
